"patch","date","nmin_30","nmin_60","nmin_90","doy","crop"
49,2023-02-27,56.57,9.04,17.9866666666667,58,"Fal"
50,2023-02-27,14.0866666666667,3.71,16.0066666666667,58,"Bar"
51,2023-02-27,7.02,3.28333333333333,1.19,58,"Rye"
58,2023-02-27,167.133333333333,6.65333333333333,8.76333333333333,58,"Rap"
59,2023-02-27,10.6666666666667,2.95,6.27666666666667,58,"Woats"
60,2023-02-27,9.36666666666667,4.32333333333333,2.62666666666667,58,"CC3"
65,2023-02-24,23.8566666666667,10.9466666666667,22.2533333333333,55,"Rap"
66,2023-02-24,20.01,14.7133333333333,44.8666666666667,55,"Whe"
68,2023-02-27,7.37333333333333,2.34666666666667,1.19666666666667,58,"CC3"
73,2023-02-24,17.54,6.07666666666667,2.42666666666667,55,"CC3"
74,2023-02-24,19,8.23333333333333,8.73333333333333,55,"Bar"
76,2023-02-27,10.8633333333333,6.35,5.11333333333333,58,"Fal"
81,2023-02-24,18.09,16.3966666666667,19.4933333333333,55,"Fal"
89,2023-02-24,11.2433333333333,3.77333333333333,9.06666666666667,55,"Woats"
90,2023-02-24,7.83333333333333,1.53333333333333,1.40333333333333,55,"CC3"
95,2023-02-24,9.18,3.53333333333333,6.52,55,"Fal"
96,2023-02-24,12.1333333333333,3.60333333333333,5.94666666666667,55,"CC3"
102,2023-02-24,8.34666666666667,4.50333333333333,3.03333333333333,55,"Rye"
105,2023-02-24,15.32,6.20333333333333,5.18333333333333,55,"CC3"
110,2023-02-24,12.0833333333333,3.24333333333333,2.55666666666667,55,"CC3"
114,2023-02-24,10.6633333333333,4.72333333333333,3.25333333333333,55,"Rye"
115,2023-02-24,11.2833333333333,7.56333333333333,16.13,55,"Fal"
119,2023-02-24,10.8866666666667,3.26,5.25,55,"Woats"
