"patch","doy","crop","sm_30","sm_60","sm_90","band_1","band_2","band_3","band_4","band_5","band_6","band_7","band_8","Aspect_1m","DEM_1m","Slope_1m","TWI","lon","lat","cluster","NDVI","GNDVI","EVI","NDRE","MCARI","LCCI","nmin_90"
"13",59,"CC3",24.2531781750893,20.5819398747469,21.7587983907632,NA,649,NA,953,NA,1099,NA,2077,85.596664,80.89,1.8668156,4.52244,14.1349516888755,52.4464441423173,5,0.307934508816121,0.370957095709571,0.642660007885399,NA,NA,NA,7.21
"12",59,"Fal",25.9671925193998,21.4904025601876,22.8141501308477,NA,584,NA,1014,NA,1129,NA,2127,62.359627,80.96,1.6974497,4.2121434,14.134927465579,52.4464441423173,5,0.306511056511057,0.354345749761223,0.551747014595312,NA,NA,NA,23.59
"119",344,"CC3",16.5395473300503,10.9076525640905,13.3590032388811,NA,244.5,NA,660,NA,352,NA,3114,299.05707,69.33,1.4743903,5.0462446,14.1504930684504,52.4488922986153,1,0.796884016156953,0.650238473767886,2.03492227215796,NA,NA,NA,14.02
"115",344,"CC3",17.9706208478408,12.8001121328107,9.71241329020808,NA,249,NA,696,NA,392.5,NA,3665,135,67.78,0.8104037,5.357184,14.1494371687234,52.4488110440192,1,0.806531115218731,0.680807154322403,1.96972432887926,NA,NA,NA,14.1966666666667
"114",344,"Fal",14.8312444242766,10.990222515095,14.0014806450568,NA,307,NA,580,NA,697,NA,1666,82.691864,70,2.813887,6.1040874,14.1493077762792,52.4494639260661,1,0.410071942446043,0.483526268922529,0.683067813337093,NA,NA,NA,19.7833333333333
"110",344,"Rye",15.4238647557841,11.0312338589411,12.8826078920379,NA,302.5,NA,670.5,NA,448.5,NA,3470,279.45758,70.19,1.7419513,5.690326,14.1482420623016,52.4493808888657,1,0.77108587469695,0.676126071730467,1.94021704231683,NA,NA,NA,17.8366666666667
"105",344,"Woats",17.326098653477,11.1564132297062,10.5459501258475,NA,348,NA,807.5,NA,524.5,NA,2978,84.80127,70.43,0.79113495,4.282639,14.1472057063592,52.4493017352567,1,0.700499643112063,0.573372077664773,1.74452502844141,NA,NA,NA,15.0366666666667
"102",344,"Fal",15.8735935795781,12.2183306956847,14.1897346335713,NA,304.5,NA,610,NA,753,NA,1657.5,89.98907,69.8,1.1455706,5.298674,14.1461502169532,52.4479197247163,3,0.375233354075918,0.461962513781698,0.580887547363689,NA,NA,NA,12.7133333333333
"95",344,"CC3",14.2920807198638,10.0270140008441,9.04331484971179,NA,230.5,NA,727.5,NA,335.5,NA,4216.5,159.44875,70.74,1.2238753,7.0242953,14.1452327097831,52.4485049887166,3,0.852592267135325,0.705703883495146,2.15527294940856,NA,NA,NA,13.2966666666667
"96",344,"Woats",14.9787125774479,8.56903249519127,10.6466433872561,NA,367.5,NA,716.5,NA,691,NA,2186.5,144.45996,70.21,0.61588645,4.5330696,14.1450955727014,52.4478419588227,3,0.519721980886186,0.506372717878057,1.0451464113495,NA,NA,NA,17.82
"90",344,"Rye",15.5113360907851,10.7263246906023,7.63977315070441,NA,316,NA,795.5,NA,379,NA,4435,183.36948,70.16,1.2195559,5.236072,14.1443648851581,52.4475387689377,3,0.842542584129622,0.695822579103336,2.33640552995392,NA,NA,NA,11.9433333333333
"89",344,"CC3",16.167034321764,13.0816273515707,13.9238103583342,NA,308,NA,791,NA,456.5,NA,3775,128.29315,71.99,1.7330164,7.3268886,14.1439102253741,52.4484097848587,3,0.784237268108236,0.653526062198861,1.97294887039239,NA,NA,NA,20.2966666666667
"81",344,"CC3",21.4773803365534,16.7355255898986,13.6176697153928,NA,275.5,NA,783,NA,481,NA,3952.5,142.12816,74.82,2.448353,4.944151,14.1430031008383,52.4489951928179,0,0.783015676102402,0.669306303452645,1.8182056250982,NA,NA,NA,9.25666666666667
"76",344,"CC3",18.283879513989,12.3493260657149,9.03341064679703,NA,231.5,NA,671.5,NA,352,NA,3865.5,146.28304,70.67,0.51658386,5.4020534,14.1421135609982,52.4467136260298,4,0.833076467101363,0.703989420321799,2.07054039719488,NA,NA,NA,10.8633333333333
"74",344,"Rap",21.8869791668753,10.8914992976681,8.33200384736485,NA,437,NA,856.5,NA,648.5,NA,4025.5,196.70004,72.06,1.4949938,6.8241205,14.1420644177065,52.448275154544,0,0.722507488232777,0.649119213437116,1.81950431034483,NA,NA,NA,13.34
"73",344,"Bar",25.7659003978422,18.7742799249622,14.4687460735637,NA,330,NA,1028.5,NA,566,NA,4909,199.29083,74.02,3.0325541,5.8825154,14.1419920646236,52.448667792781,0,0.79324200913242,0.653557894736842,1.86203052649631,NA,NA,NA,10.26
"68",344,"Rye",14.8907613943042,9.68301333543628,10.579303350242,NA,310,NA,773.5,NA,477,NA,4062,110.22955,71.21,1.4497089,6.0747347,14.1412604537066,52.4469128433194,4,0.789821546596167,0.680074449384759,1.94836956521739,NA,NA,NA,16.1866666666667
"66",344,"Fal",21.9343385343182,12.726931516515,12.6960847614698,NA,296,NA,492,NA,690.5,NA,1458,90.0046,72.95,2.7193222,5.8198705,14.1410482157739,52.447947700967,0,0.357225971608099,0.495384615384615,0.56734180958013,NA,NA,NA,5.40666666666667
"60",344,"Woats",17.1306178672208,6.79871463557071,4.59165388999927,NA,313.5,NA,802,NA,438.5,NA,2736,319.39972,72.4,2.6392844,6.86139,14.1404007015269,52.445933060942,4,0.723736021420696,0.54663651780667,1.90395292947709,NA,NA,NA,7.12
